PIC50_RET wild,can_smile,id,id_new,smiles
7,COC1(C(=O)NCc2ccc(N3CC(F)C3)nc2)CN(c2nc(C)cc(Nc3cc(C)[nH]n3)n2)C1,,chembl_32302009,C1C(F)CN1c(cc2)ncc2CNC(=O)C3(OC)CN(C3)c4nc(cc(n4)C)Nc5cc([nH]n5)C
7,COC1(C(=O)NCc2ccc(N3CC[C@H](F)C3)nc2)CN(c2nc(C)cc(Nc3cc(C)[nH]n3)n2)C1,,chembl_32302038,n1[nH]c(C)cc1Nc(cc(n2)C)nc2N(C3)CC3(OC)C(=O)NCc4cnc(cc4)N5C[C@@H](F)CC5
7,COC1(C(=O)NCc2ccc(N3CC[C@@H](F)C3)nc2)CN(c2nc(C)cc(Nc3cc(C)[nH]n3)n2)C1,,chembl_32302040,n1[nH]c(C)cc1Nc(cc(n2)C)nc2N(C3)CC3(OC)C(=O)NCc4cnc(cc4)N5C[C@H](F)CC5
7,Cc1cc(Nc2cc(C)[nH]n2)nc([C@@H]2CC[C@](C)(C(=O)N[C@@H](C)c3ccc(-n4cc(F)cn4)nc3)C2)n1,,chembl_32428453,n1[nH]c(C)cc1Nc(cc(n2)C)nc2[C@H](CC3)C[C@@]3(C)C(=O)N[C@@H](C)c4cnc(cc4)-n5cc(F)cn5
7,CO[C@]1(c2cc(C)cc(Nc3cc(C)[nH]n3)n2)C[C@H](C(=O)N[C@@H](C)c2ccc(-n3cc(F)cn3)nc2)C1,,chembl_31810929,n1[nH]c(C)cc1Nc(cc(c2)C)nc2[C@@]3(OC)C[C@@H](C3)C(=O)N[C@@H](C)c4cnc(cc4)-n5cc(F)cn5
7,Cc1cc(Nc2cc(C)[nH]n2)nc([C@]2(O)C[C@](C)(C(=O)N[C@@H](C)c3ccc(-n4cc(F)cn4)nc3)C2)c1,,chembl_31810944,n1[nH]c(C)cc1Nc(cc(c2)C)nc2[C@@]3(O)C[C@@](C3)(C)C(=O)N[C@@H](C)c4cnc(cc4)-n5cc(F)cn5
7,Cc1cc(Nc2cc(C)[nH]n2)nc([C@]2(F)C[C@](C)(C(=O)N[C@@H](C)c3ccc(-n4cc(F)cn4)nc3)C2)c1,,chembl_31810950,n1[nH]c(C)cc1Nc(cc(c2)C)nc2[C@@]3(F)C[C@@](C3)(C)C(=O)N[C@@H](C)c4cnc(cc4)-n5cc(F)cn5
7,CO[C@]1(C(=O)N[C@@H](C)c2ccc(-n3cc(F)cn3)nc2)C[C@@](O)(c2cc(C)cc(Nc3cc(C)[nH]n3)n2)C1,,chembl_31810952,n1[nH]c(C)cc1Nc(cc(c2)C)nc2[C@@]3(O)C[C@@](C3)(OC)C(=O)N[C@@H](C)c4cnc(cc4)-n5cc(F)cn5
7,COCCOc1cc(-c2ccc(N3CCN(Cc4cc(C)nc(C)c4)CC3)nc2)c2c(C#N)cnn2c1,32852957,patent_32852957,COCCOC1=CN2N=CC(C#N)=C2C(=C1)C1=CC=C(N=C1)N1CCN(CC2=CC(C)=NC(C)=C2)CC1
6.999565923,COc1cc2c(Nc3c(F)ccc(O)c3C)ncnc2cc1OCCNC1CCOCC1,,reaxys_28252632,COC1=C(OCCNC2CCOCC2)C=C2N=CN=C(NC3=C(F)C=CC(O)=C3C)C2=C1
